from,tx_count,avg_value,value_std,avg_gas,is_bot_suspicion
0x0000000000001EfE53a797754F094cAF01bf92C7,2,788185392.0,1114662471.0307543,662970787.5,LOW
0x0000000000008359421A71a3d1f8c72921C8504D,1,72417281.0,,835278665.0,LOW
0x00000000000124d994209fbB955E0217B5C2ECA1,1,514516778521085.0,,766646293.0,LOW
0x000000000121D39fc0E48F7aa4fa1fbb819c377c,1,0.0,,435580339.0,LOW
0x00000027F490ACeE7F11ab5fdD47209d6422C5a7,2,139.0,135.7645019878171,18500400830.0,LOW
0x000000AEd6068D981D76641494752acF64012032,1,0.0,,469497621.0,LOW
0x00003f0B7045822689cE3A6118846218A2C22cFd,2,194350081128859.5,60595773482725.95,379811125.0,LOW
0x0000fDF3aF21c329851De8E981178928e472Edd9,1,126266346230739.0,,387539708.0,LOW
0x000342A2CD2695b7608b4c3a1bE5bcdb1b6C8D4e,1,1.0,,410302321.0,LOW
0x000568B3dfE407a9C6b902d53bDF7278fF8C593F,1,0.0,,634134589.0,LOW
0x001Ca4B971326116d9014e4B0db22B831F6c765E,1,0.0,,854456321.0,LOW
0x001f8702B3097a405218b4C75331de3C8db08888,1,1000000000000.0,,776156200.0,LOW
0x004Aa3AE6891d0214205A6d9743291839Fdee5dd,2,125.0,176.7766952966369,412672235.5,LOW
0x00588B92C1FEcb1795d81EaA86b204781325C4a7,1,2.0701e+18,,5766646293.0,LOW
0x0067CC2416F792CF0ec5629f5506324Ac508f859,1,0.0,,2439084985.0,LOW
0x006a20734Ea4276Af4CEbA5ff46FDB6aD1A044E3,1,0.0,,634134589.0,LOW
0x0081f4cA89470A6431B6BeFc1970f8bEFD8c999A,1,0.0,,634134589.0,LOW
0x009A3645468d7f398C86Ef7226C24D20315c5214,1,0.0,,372084042.0,LOW
0x00BDb5699745f5b860228c8f939ABF1b9Ae374eD,1,0.0,,668572373.0,LOW
0x00C290a6375B3C2a0A553aB65b82ad8847E3524D,1,0.0,,415532161.0,LOW
0x00C9406723b19139F277e98B33E80812591D59f8,1,2.1767167492912067e+17,,2372082542.0,LOW
0x00C95e060010E0bf341159FAE9FbF3fa81d2Bfa6,1,0.0,,435772853.0,LOW
0x00E46Ce5E8D3Cb72A7a4C9E5A5e5C94622C53D38,1,0.0,,400341150.0,LOW
0x00c9169040FAcf2a679bf45583E22616632759f8,1,10000000000.0,,454411197.0,LOW
0x00cF4FB87e5599BdF96Caed75C05341eE73a59f8,1,217671674929.0,,388218261.0,LOW
0x00d0c8B163b05654224c6854F068dcA2335BDF1c,1,1000000000000000.0,,1422756378.0,LOW
0x0136A9cD1EDAd671C478485feE8627B148FFa22C,1,0.0,,679779417.0,LOW
0x014f213b56Bf956a7419a5539e83f5f989E360b7,1,0.0,,482993483.0,LOW
0x0156481c129Fd5755F1009Cb9107250200691EF4,1,0.0,,634134589.0,LOW
0x016606Acc6B0cFE537acc221e3bf1bb44B4049Ee,2,5.1338651539307304e+16,6.431739826391857e+16,645739425.5,LOW
0x016dc809F5829395AbA45C9119f7395FDc53573E,1,8617930000000000.0,,472082542.0,LOW
0x01AFa0868257e93ce580530E5bfD8C3c27e67bf7,1,1000000000000.0,,454411197.0,LOW
0x01BFa8E0A25d6f56716166951a55ecE92DF95859,1,0.0,,634134589.0,LOW
0x01C815E2880a40290b925D63Bff591D3b8Aa9D53,1,0.0,,372084042.0,LOW
0x01C8eFA869a4B1E85b32fd60081ae163b8Aa9D53,1,0.0,,1423390707.0,LOW
0x01F17a239358435EEdcD14AA03ae941C7294B5e0,1,4.0,,410302321.0,LOW
0x01a5BB36b5Fce28903529B6f1e5Ca0390ed60dB4,1,0.0,,769146293.0,LOW
0x01a821A0aa633C9D94C6B02d580c9247fE4ed6fB,2,174.5,246.7802666341051,414546325.5,LOW
0x01aB1d0ED5082bcFfAc3AAFC1B6DbF60A4C09B63,1,4.9991575989356e+16,,401143364.0,LOW
0x01b6342D4eD7b22ea7a51802aaF57a8C7BCE3E18,1,3669200000000.0,,372084042.0,LOW
0x0210596Ddc93EfA9DaA46e971de9167bEBbf1933,1,7.9991575989356e+16,,401143364.0,LOW
0x0228D303473DBa1D64a1eBdF22FFA011408Bf93C,1,127438536393897.0,,1766646293.0,LOW
0x025080f14AA3305049F9CE08D7B92368d54cB9b6,3,0.0,0.0,836043176.6666666,HIGH
0x0292c9906ef7CD6a7490FEaA0046BF351D4c6515,2,0.0,0.0,397736639.5,HIGH
0x02BAd9C6fe048336613276BE52A694C9B1d1B969,1,151744281000.0,,468916939.0,LOW
0x02a0EFc5085a5cE227A1152dBBF3cB6efC3468E6,1,58416444000000.0,,772101029.0,LOW
0x02c1Ea389faf4b1f6c9b6037D83741d268A77c36,1,5.743127810496815e+18,,3434580354.0,LOW
0x030583A8B6880FD09269D95624C8a69f0cEBab9B,1,2.12e+16,,2423390707.0,LOW
0x030E53a0623b71031D21D70FDFfa8826a73b394a,1,0.0,,634134589.0,LOW
0x031DC85C1E2Ee6aBf1b916014e039c8cD2452F4E,1,1e+16,,2405701913.0,LOW
0x03291d76D35FfB98C4175ce4900b545373A4ecd7,1,1.12606034585329e+17,,767346293.0,LOW
0x03452e15201085ABB89eB3A52Df47F198A09cFfd,1,0.0,,886476916.0,LOW
0x034b3cbE2340412F62c54Ea99f70B27779FE1C55,1,10000000000.0,,395164610.0,LOW
0x03599A2429871E6be1B154Fb9c24691F9D301865,5,1000000000000000.0,0.0,825606428.8,HIGH
0x03631c388FB01e0d929627b614eEb501c0Ef9dcE,2,0.0,0.0,484759555.0,HIGH
0x036C43C662Ebb15d44aC17C5ed1444ca2729f829,1,0.0,,388216761.0,LOW
0x037F3AB364BeB6a886E7a41F572D95736307007e,1,10000000000.0,,454411197.0,LOW
0x0390Bc55a54Aa82741D37cBF9022682938D3De39,1,2.549212548243847e+16,,5000000000.0,LOW
0x03A0c8cb0E80F54386E17a97DeC7588d31BaB142,2,2234562304249822.5,3160148316637773.5,1486700516.0,LOW
0x03B54Ad6f3C5BE9a14616C49ca9C5929B36bC6a5,1,0.0,,372084042.0,LOW
0x03C1054DCb0B63b3781C815972669002093e59eC,1,0.0,,2390764101.0,LOW
0x03D77a1EEa49E2148F3c424e39993934D69BBaad,1,1000000000000.0,,457261963.0,LOW
0x03afFF0aEA2a6b07493d660d006E6E72f0D6f36a,1,3.0209218639480016e+16,,401143364.0,LOW
0x03b508Fc4C45DC412783c49b7960DC39b36Bc6A5,1,1000000000.0,,372084042.0,LOW
0x03b5a893fCA0D5B69Fa93d98b2D8a249B36BC6a5,1,0.0,,372084042.0,LOW
0x03baF90b77DF8Fec05BA9a59f26d0e0d021f75b7,1,0.0,,1890764101.0,LOW
0x03fCe429605483BA8996fdfe56fb9b6dEe7434c6,1,1000000000000.0,,384675831.0,LOW
0x03fD4c429c2D0b88E2b85727bDfEFFca390E158d,1,0.0,,405701928.0,LOW
0x04035f5b72689C5081bB56fb4Ee5f68eF1Ae3255,1,10000000000000.0,,372082557.0,LOW
0x04269303cAB581e9a75bB190b0FAC1D488c26b3E,1,0.0,,372084042.0,LOW
0x042872496d5e67f3886F7428fD09183101c26B3E,1,0.0,,482993483.0,LOW
0x04292ef1174995fca35B4b40b86218987fD135EB,1,185313904272835.0,,885496916.0,LOW
0x043d936Dab0d0882e4B80FD632dE7524b05F63F2,1,4.9991575989356e+16,,401143364.0,LOW
0x0440e61B3B648E59059d18e0C8aC71478b85808b,1,0.0,,434580359.0,LOW
0x0451dc7b247bbFB528b3F9881512ced65b47FaC1,1,0.0,,638175963.0,LOW
0x045B486F6b91134Df29f9D0404F14Df7dd5597A1,1,0.0,,372084042.0,LOW
0x045EEF64c88d85B1FA76FDad7180727CCdDB466b,1,0.0,,372084042.0,LOW
0x045bB33b7734d60341745A2213483677dD5597A1,1,0.0,,372084042.0,LOW
0x045be0254f375C96f4019f68EA0eBeC7DD5597a1,1,1000000000.0,,372084042.0,LOW
0x045e03278d6aEfDD91bC46033a5208D07D8b466b,1,0.0,,372084042.0,LOW
0x045e45253CbC67C63Dd97578240721507d8b466B,1,1000000000.0,,372084042.0,LOW
0x045eB620E99b24dB7c0216b5174EdB2CcDDb466b,1,0.0,,372084042.0,LOW
0x046A1Ad0df091f3F0FBFe4b210711f09fF173a1b,1,0.0,,484727189.0,LOW
0x04A9379a9452B9f79B0b4a37798576C5279dB9d7,1,0.0,,684764101.0,LOW
0x04B598762352056466A775B2C03B0Ae2108a6458,1,0.0,,446272104.0,LOW
0x04B79F7F444a1983e6034a4442B85ED8576259e6,17,16342446692647.059,18366098744701.176,556068697.0588236,LOW
0x04BcD49e82BA072A25FDc72903a231d998a67893,1,10000000000.0,,454411197.0,LOW
0x04C079bB31DEeD8391015eed8D6b625A40957058,1,4.173256e+16,,390764116.0,LOW
0x04D561cD64002702eFd40395F1c1986cE0fA4b8F,2,0.0,0.0,398233029.0,HIGH
0x04E9D7e2726C37530C87319Ca303AAAD04AB38DC,2,10000000000.0,0.0,425870749.0,HIGH
0x04F4F9c1B2fa788C53E264147370B3D0B384e39C,1,0.0,,446272104.0,LOW
0x04d61e3b446FF1e5f6Ccf5eE7B70671E1c6E5caa,1,663058484900000.0,,1388216761.0,LOW
0x04d9634DF20aa66b23f114D37c45FA6C6Ab76D56,1,0.0,,2266646293.0,LOW
0x04e19A108b675D98F0D527E48Be7F90fb2AFF398,1,0.0,,434581839.0,LOW
0x0513F63401C7aFDe27079fc7C203F358Bd908bD5,2,0.0,0.0,380149666.5,HIGH
0x0540b5F571c663f88cF9F09e7C4d23CC48db3175,1,10000000000.0,,454411197.0,LOW
0x054302A841a3Ef3B55f4F089B3319A506203Dcc4,1,0.0,,634134589.0,LOW
0x054819Ec8D64bfA8530015E00F975725196905e9,1,10000000000.0,,454411197.0,LOW
0x055D9A4dc18687872D95E2324335AAa4fbd29F05,1,0.0,,940231953.0,LOW
0x057849BA3Af7fa2547E1C520f59b7d5A46Be439D,1,0.0,,372082557.0,LOW
0x059865C59d73955D020C9Ff6e7d8BE2b52C32F80,1,2.3e+16,,1766646293.0,LOW
0x0598eb45Ee46a818859781d48753a83b089ebc86,1,0.0,,1667416293.0,LOW
0x05AD777E616ed262a86723922bF565a5111Dc6De,1,0.0,,479764101.0,LOW
0x05C15c733f41208241a2aCD6832A2b09434Da935,1,0.0,,434580359.0,LOW
0x05CAB6C766fBd6B5CEBE0eE48bF29c9f5Ad716D8,1,0.0,,886476916.0,LOW
